iter	RMSE
168	3.690849744
169	3.681766424
170	3.669487118
171	3.666110709
172	3.657552945
173	3.649652419
174	3.642950402
175	3.641676765
176	3.635588921
177	3.629230745
178	3.622771473
179	3.614492355
180	3.607614275
181	3.600137095
182	3.598446215
183	3.592724512
184	3.580827465
185	3.577856955
186	3.574722057
187	3.570946928
188	3.570661525
189	3.568575856
190	3.566212985
191	3.56061417
192	3.560232601
193	3.557796247
194	3.554823162
195	3.546921485
196	3.546601204
197	3.53951632
198	3.536089016
199	3.529798413
200	3.529501743
201	3.526298713
202	3.516507487
203	3.51342881
204	3.510207469
205	3.50834145
206	3.508017593
207	3.497684839
208	3.494774945
209	3.49190047
210	3.490392381
211	3.48441106
212	3.477209528
213	3.463161099
214	3.460312799
215	3.459392306
216	3.453597948
217	3.453019184
218	3.446072714
219	3.435970013
220	3.428281337
221	3.426352131
222	3.423159925
223	3.420441353
224	3.412181487
225	3.403131495
226	3.399001898
227	3.396097669
228	3.386050885
229	3.385305924
230	3.381238513
231	3.379298907
232	3.369621474
233	3.368755886
234	3.363524118
235	3.355662093
236	3.354212268
237	3.353206785
238	3.350602796
239	3.336593036
240	3.332428175
241	3.321675329
242	3.317719942
243	3.311805003
244	3.309556488
245	3.303819893
246	3.297568226
247	3.292392375
248	3.292177651
249	3.292062963
250	3.286176366
251	3.280867603
252	3.275611335
253	3.274086694
254	3.273457404
255	3.272672058
256	3.26808444
257	3.26467252
258	3.256430115
259	3.246253236
260	3.238653624
261	3.234746922
262	3.233121285
263	3.226697745
264	3.223328886
265	3.222302906
266	3.218308523
267	3.211661592
268	3.208027776
269	3.204176906
270	3.203787137
271	3.200252376
272	3.187803604
273	3.183244206
274	3.174825556
275	3.174725183
276	3.172431529
277	3.171185165
278	3.16873837
279	3.167899861
280	3.161855364
281	3.158948751
282	3.15502721
283	3.153469838
284	3.149940001
285	3.149850767
286	3.142839701
287	3.141793076
288	3.139702084
289	3.131452376
290	3.129266867
291	3.126333328
292	3.124048842
293	3.11944962
294	3.116403356
295	3.109719144
296	3.107348939
297	3.105502104
298	3.10429333
299	3.100642314
300	3.094742079
301	3.089709074
302	3.087472791
303	3.085712208
304	3.083726506
305	3.083260497
306	3.079814114
307	3.073040746
308	3.070644795
309	3.069817479
310	3.06299974
311	3.059710567
312	3.056630788
313	3.051337021
314	3.044850003
315	3.043556733
316	3.033310269
317	3.031417367
318	3.022253239
319	3.020954429
320	3.012998605
321	3.01141903
322	3.006449065
323	3.002403337
324	3.001188714
325	2.999915025
326	2.998331494
327	2.99769822
328	2.995658472
329	2.993826032
330	2.992624374
331	2.981792829
332	2.98030406
333	2.976324078
334	2.965497457
335	2.965140935
336	2.964038204
337	2.961441094
338	2.956398747
339	2.950302398
340	2.942775204
341	2.935869984
342	2.935726428
343	2.928088792
344	2.925825673
345	2.922854528
346	2.917279969
347	2.91634592
348	2.914117029
349	2.907516898
350	2.900551824
351	2.899974953
352	2.894568979
353	2.888507567
354	2.885464151
355	2.881231839
356	2.881117839
357	2.876651626
358	2.871546421
359	2.869132765
360	2.865203867
361	2.859924479
362	2.85764504
363	2.85483453
364	2.852442449
365	2.850503937
366	2.844727686
367	2.841430692
368	2.839590675
369	2.83478002
370	2.832783874
371	2.831155435
372	2.824641037
373	2.820552522
374	2.812678976
375	2.808127475
376	2.808066554
377	2.805117224
378	2.805102212
379	2.803879894
380	2.801546976
381	2.800389619
382	2.792194818
383	2.787971711
384	2.778404249
385	2.777778076
386	2.771226336
387	2.769481186
388	2.765977263
389	2.7616817
390	2.760486798
391	2.754919652
392	2.751192065
393	2.749226405
394	2.744687258
395	2.739421049
396	2.73226782
397	2.729693566
398	2.727099193
399	2.724420339
400	2.716875339
401	2.716011939
402	2.715068727
403	2.713710099
404	2.710042254
405	2.708356459
406	2.707553113
407	2.701958669
408	2.694224997
409	2.693066581
410	2.686144825
411	2.677085399
412	2.674464749
413	2.669394007
414	2.665231871
415	2.661751559
416	2.659210286
417	2.655571724
418	2.652332599
419	2.649517459
420	2.648128284
421	2.64615955
422	2.64481647
423	2.642394238
424	2.640466159
425	2.637655983
426	2.637125567
427	2.635127101
428	2.630878911
429	2.62803521
430	2.625598628
431	2.621799045
432	2.620369657
433	2.619206845
434	2.618565434
435	2.617196629
436	2.616932307
437	2.611163061
438	2.607395182
439	2.605366751
440	2.60321253
441	2.602230022
442	2.598238133
443	2.595222878
444	2.594707553
445	2.590926119
446	2.587383616
447	2.583451595
448	2.577741295
449	2.570950545
450	2.570210687
451	2.568484398
452	2.563066458
453	2.562053728
454	2.562006751
455	2.556342506
456	2.551910617
457	2.54977985
458	2.54719804
459	2.546807007
460	2.542414103
461	2.539508804
462	2.536612299
463	2.534696079
464	2.532731894
465	2.532598655
466	2.531432794
467	2.531371477
468	2.530780169
469	2.530021111
470	2.529820026
471	2.529222442
472	2.526720394
473	2.523732009
474	2.523371094
475	2.523343481
476	2.522207521
477	2.519057172
478	2.515166542
479	2.513636948
480	2.512003772
481	2.509897432
482	2.508705046
483	2.507872275
484	2.500841969
485	2.499597099
486	2.498916785
487	2.496290184
488	2.496052725
489	2.494564112
490	2.484762988
491	2.482863156
492	2.47813317
493	2.474556139
494	2.467962746
495	2.467009557
496	2.466164064
497	2.45913979
498	2.458689013
499	2.458304061
500	2.456399215
501	2.453210575
502	2.453042504
503	2.446740485
504	2.444798615
505	2.44100771
506	2.439923561
507	2.433823754
508	2.426756409
509	2.422402815
510	2.418126764
511	2.417118197
512	2.415129548
513	2.408713619
514	2.405275488
515	2.399919478
516	2.39561873
517	2.393667545
518	2.388845501
519	2.386473349
520	2.385893497
521	2.381515716
522	2.380093749
523	2.379772809
524	2.379296903
525	2.379125802
526	2.373844372
527	2.372953404
528	2.372433632
529	2.367633862
530	2.36531118
531	2.361665133
532	2.35916878
533	2.358142013
534	2.353845526
535	2.351380802
536	2.347185294
537	2.342849255
538	2.337223402
539	2.335726277
540	2.333101963
541	2.332032736
542	2.331620325
543	2.331268768
544	2.329389187
545	2.329177632
546	2.327133232
547	2.326489596
548	2.321471865
549	2.317744099
550	2.316484846
551	2.31005284
552	2.309660631
553	2.306851672
554	2.305805265
555	2.301084244
556	2.299728835
557	2.298614941
558	2.295766812
559	2.29182669
560	2.28720086
561	2.281883381
562	2.279358539
563	2.274309379
564	2.273999127
565	2.272978177
566	2.272058508
567	2.271199837
568	2.270069728
569	2.269121838
570	2.266028668
571	2.262710415
572	2.256182103
573	2.254302035
574	2.254227469
575	2.254139533
576	2.253956954
577	2.253106997
578	2.251980861
579	2.246217228
580	2.244081931
581	2.243463229
582	2.239827223
583	2.234621855
584	2.23430248
585	2.232900534
586	2.23105942
587	2.228034894
588	2.227720671
589	2.225190931
590	2.224593668
591	2.21923612
592	2.212404237
593	2.210380828
594	2.209297074
595	2.205597365
596	2.205195429
597	2.200983094
598	2.19837956
599	2.19770909
600	2.195565945
601	2.19161497
602	2.189944348
603	2.189354958
604	2.188790527
605	2.184444806
606	2.181216028
607	2.180925319
608	2.17915528
609	2.172879957
610	2.1710441
611	2.169393604
612	2.168440551
613	2.167999826
614	2.166810881
615	2.164233429
616	2.161939098
617	2.156682342
618	2.155265156
619	2.15293142
620	2.152383543
621	2.150553526
622	2.150004333
623	2.149392133
624	2.149125546
625	2.14619063
626	2.145595166
627	2.145419103
628	2.142217932
629	2.137505195
630	2.136602933
631	2.132104511
632	2.131275398
633	2.128495909
634	2.127063428
635	2.124718911
636	2.122319049
637	2.119558564
638	2.117948907
639	2.117858485
640	2.117463496
641	2.116919239
642	2.116833795
643	2.116654447
644	2.115924051
645	2.11590908
646	2.114043643
647	2.113719596
648	2.109624657
649	2.107700669
650	2.105381397
651	2.102307991
652	2.10216128
653	2.101532275
654	2.100694461
655	2.09782833
656	2.097736591
657	2.097299375
658	2.096648567
659	2.095468114
660	2.092089542
661	2.091601291
662	2.08970531
663	2.088069285
664	2.087589335
665	2.087463553
666	2.086895299
667	2.085909842
668	2.083945548
669	2.081194363
670	2.078413404
671	2.069880902
672	2.069717631
673	2.065612284
674	2.063230664
675	2.060163073
676	2.059302537
677	2.058272292
678	2.057276063
679	2.054501794
680	2.051937337
681	2.047143599
682	2.043656389
683	2.041078642
684	2.038368573
685	2.038072012
686	2.037858289
687	2.034190849
688	2.032433447
689	2.030908628
690	2.027845395
691	2.025240031
692	2.022373878
693	2.02124897
694	2.017389624
695	2.013299044
696	2.009915476
697	2.001071889
698	1.997443639
699	1.997015774
700	1.996703927
701	1.994468058
702	1.992194933
703	1.991389738
704	1.990891225
705	1.990392585
706	1.987558476
707	1.987077817
708	1.98567991
709	1.983860714
710	1.983593403
711	1.983513641
712	1.981661278
713	1.976228841
714	1.969883414
715	1.969829113
716	1.969708054
717	1.967834606
718	1.966808434
719	1.965853449
720	1.965816715
721	1.965745145
722	1.965185485
723	1.964908947
724	1.962569262
725	1.961514584
726	1.961028473
727	1.957063217
728	1.956143514
729	1.956026127
730	1.954328212
731	1.951318927
732	1.947953006
733	1.947922647
734	1.945627302
735	1.943369316
736	1.939996054
737	1.939935497
738	1.937690932
739	1.935897698
740	1.933338665
741	1.932307581
742	1.927106328
743	1.920852877
744	1.918458999
745	1.913879568
746	1.912572069
747	1.911235529
748	1.910764401
749	1.910128932
750	1.907238194
751	1.906769808
752	1.905184433
753	1.904580743
754	1.902481403
755	1.89940473
756	1.896503429
757	1.896146438
758	1.892027469
759	1.89194324
760	1.891371683
761	1.889704985
762	1.888689924
763	1.887163558
764	1.886388048
765	1.882432059
766	1.881227752
767	1.881028362
768	1.880898324
769	1.878922149
770	1.877504548
771	1.872949127
772	1.871352276
773	1.867571235
774	1.866944732
775	1.865879686
776	1.864975588
777	1.86356999
778	1.859520709
779	1.858254881
780	1.855474939
781	1.853930926
782	1.851342109
783	1.849118831
784	1.847035113
785	1.843379297
786	1.842391205
787	1.841364056
788	1.836854585
789	1.835634087
790	1.833267211
791	1.832955359
792	1.832566702
793	1.832195383
794	1.83077402
795	1.828570649
796	1.826880639
797	1.826105094
798	1.825786475
799	1.823465077
800	1.819852155
801	1.819825744
802	1.819671692
803	1.818859116
804	1.817634829
805	1.813273389
806	1.810893443
807	1.808439216
808	1.804952755
809	1.80467979
810	1.802586832
811	1.799934819
812	1.799127516
813	1.798155261
814	1.792655327
815	1.791833954
816	1.790544492
817	1.78992602
818	1.785014397
819	1.784492378
820	1.782992275
821	1.782934651
822	1.781883572
823	1.781425547
824	1.780430588
825	1.775287422
826	1.773687941
827	1.773403335
828	1.771509211
829	1.768442028
830	1.765677986
831	1.763238242
832	1.762698778
833	1.76255012
834	1.762332768
835	1.760424131
836	1.759759919
837	1.753080363
838	1.751533721
839	1.749722457
840	1.749443338
841	1.748938308
842	1.748489193
843	1.745282988
844	1.740486038
845	1.737508334
846	1.734816853
847	1.733110573
848	1.732596018
849	1.732072546
850	1.730982279
851	1.730279758
852	1.72988947
853	1.728734018
854	1.725562169
855	1.724894151
856	1.724700038
857	1.724465566
858	1.721673772
859	1.719383572
860	1.715965425
861	1.712973579
862	1.712227749
863	1.709282802
864	1.708403949
865	1.707570792
866	1.707074563
867	1.704801884
868	1.700886412
869	1.700748537
870	1.699651596
871	1.699122122
872	1.697325562
873	1.696949712
874	1.696293659
875	1.695994435
876	1.694367976
877	1.694116105
878	1.691230032
879	1.69068202
880	1.690398598
881	1.687801535
882	1.686259348
883	1.685789392
884	1.684671705
885	1.683269553
886	1.681625927
887	1.679901133
888	1.679570627
889	1.677459476
890	1.672890429
891	1.672566788
892	1.671376017
893	1.669172243
894	1.667724011
895	1.662959648
896	1.660806576
897	1.656659975
898	1.653995078
899	1.652860115
900	1.652777312
901	1.651559114
902	1.651198056
903	1.647366635
904	1.647018123
905	1.645348727
906	1.643910852
907	1.642757565
908	1.642525117
909	1.640826251
910	1.64036252
911	1.639727891
912	1.638158506
913	1.638151353
914	1.637797176
915	1.635215845
916	1.634080935
917	1.632813325
918	1.631707979
919	1.630741806
920	1.630295039
921	1.629663768
922	1.629003447
923	1.628100831
924	1.627444536
925	1.624716497
926	1.624573676
927	1.624151101
928	1.622838893
929	1.622684804
930	1.617903737
931	1.615112551
932	1.613320167
933	1.610918027
934	1.610300783
935	1.610203961
936	1.609816411
937	1.609200365
938	1.609192321
939	1.608609941
940	1.608307685
941	1.607416289
942	1.606228984
943	1.602776391
944	1.601989138
945	1.601811483
946	1.599917982
947	1.599623378
948	1.597800874
949	1.597464878
950	1.596518732
951	1.594809443
952	1.594527588
953	1.593883428
954	1.593564143
955	1.592946324
956	1.591477853
957	1.59122014
958	1.590222365
959	1.589497267
960	1.587658151
961	1.587638206
962	1.586274432
963	1.585048537
964	1.584673045
965	1.584533618
966	1.581131099
967	1.579844016
968	1.576793729
969	1.576295937
970	1.576128078
971	1.575939596
972	1.57502613
973	1.574862272
974	1.571964644
975	1.570743391
976	1.5704774
977	1.56703266
978	1.56522452
979	1.564647338
980	1.562047645
981	1.562034398
982	1.561265321
983	1.55945212
984	1.558761954
985	1.557053216
986	1.555244243
987	1.553459667
988	1.552327458
989	1.552232286
990	1.55010315
991	1.549622971
992	1.548895229
993	1.547686983
994	1.546394039
995	1.546283355
996	1.545074389
997	1.544263366
998	1.543851415
999	1.543811905
